Number_of_Riders,Number_of_Drivers,Location_Category,Number_of_Past_Rides,Average_Ratings,Time_of_Booking,Vehicle_Type,Expected_Ride_Duration,Historical_Cost_of_Ride,demand_multiplier,supply_multiplier,adjusted_ride_cost,profit_percentage,Loyalty_Gold,Loyalty_Regular,Loyalty_Silver
35,22,Urban,28,4.88,Afternoon,Premium,116,422.8866610257602,0.875,1.7272727272727273,422.8866610257602,0.0,0,0,1
40,30,Urban,67,4.03,Evening,Premium,143,529.6967147126813,1.0,1.2666666666666666,670.9491719693964,26.66666666666667,0,1,0
61,45,Urban,6,4.99,Evening,Economy,10,25.993449448411635,1.525,0.8444444444444444,25.993449448411635,0.0,0,0,1
50,14,Urban,98,3.52,Night,Premium,109,351.5699575243088,1.25,2.7142857142857144,351.5699575243088,0.0,1,0,0
98,25,Suburban,30,4.76,Afternoon,Economy,60,154.68715967826247,1.2098765432098766,1.52,154.68715967826247,0.0,0,0,1
54,37,Suburban,41,4.69,Afternoon,Premium,16,106.59208227583191,1.35,1.027027027027027,106.59208227583191,0.0,0,1,0
37,13,Rural,31,4.66,Afternoon,Economy,35,132.1665679180113,0.925,2.923076923076923,132.1665679180113,0.0,0,1,0
78,41,Urban,12,4.99,Afternoon,Economy,22,76.224961221763,1.95,0.926829268292683,76.224961221763,0.0,0,0,1
84,21,Rural,88,3.5,Afternoon,Economy,146,598.9400399823005,1.037037037037037,1.8095238095238095,598.9400399823005,0.0,1,0,0
44,32,Suburban,51,4.2,Afternoon,Premium,168,563.1508995670627,1.1,1.1875,735.6158625594757,30.625000000000014,0,0,1
25,11,Urban,92,3.91,Night,Economy,115,310.1546162756803,0.625,1.0,248.12369302054427,-20.0,0,0,1
38,13,Urban,38,4.46,Evening,Premium,28,145.13756861567325,0.95,2.923076923076923,145.13756861567325,0.0,1,0,0
85,25,Urban,21,4.03,Morning,Economy,73,323.5576857599395,1.0493827160493827,1.52,516.0944814837553,59.50617283950616,0,0,1
31,13,Suburban,87,4.04,Evening,Economy,11,31.565676162125197,0.775,2.923076923076923,31.565676162125197,0.0,1,0,0
67,6,Rural,25,4.45,Evening,Premium,31,144.46263762346956,1.675,1.8333333333333333,443.62068303540445,207.08333333333334,0,1,0
77,11,Rural,70,3.82,Night,Premium,63,252.4930471020809,1.925,1.0,486.0491156715058,92.50000000000001,0,0,1
32,11,Suburban,30,3.53,Afternoon,Premium,32,146.51277441611944,0.8,1.0,117.21021953289556,-19.999999999999993,0,0,1
71,30,Rural,60,4.83,Evening,Premium,156,501.801349985356,1.775,1.2666666666666666,501.801349985356,0.0,0,1,0
65,38,Urban,13,4.77,Morning,Premium,132,610.7325514755008,1.625,1.0,610.7325514755008,0.0,0,1,0
64,29,Urban,66,3.79,Night,Premium,37,194.26239936468437,1.6,1.3103448275862069,407.28116832320035,109.6551724137931,0,0,1
48,38,Urban,45,4.17,Afternoon,Economy,87,318.2101259853132,1.2,1.0,381.85215118237585,20.000000000000004,0,0,1
76,42,Rural,95,3.93,Morning,Economy,180,512.6251102173163,1.9,0.9047619047619048,512.6251102173163,0.0,1,0,0
76,53,Urban,77,3.67,Afternoon,Premium,179,555.8919187631545,1.9,0.7169811320754716,844.9557165199949,52.0,0,1,0
71,14,Suburban,8,4.44,Night,Economy,76,242.15886076969636,1.775,2.7142857142857144,1166.68679706543,381.78571428571433,0,0,1
76,9,Urban,64,4.16,Evening,Economy,10,41.40499127744981,1.9,1.2222222222222223,96.15159085541123,132.22222222222223,0,0,1
51,14,Rural,16,3.51,Night,Premium,30,180.88655372559683,1.275,2.7142857142857144,180.88655372559683,0.0,1,0,0
88,38,Rural,29,3.73,Evening,Premium,167,537.8971058809161,1.0864197530864197,1.0,537.8971058809161,0.0,1,0,0
60,24,Rural,5,3.79,Afternoon,Premium,154,556.6629286327259,1.5,1.5833333333333333,556.6629286327259,0.0,1,0,0
73,55,Rural,55,4.2,Afternoon,Economy,52,158.5563431447304,1.825,0.6909090909090909,231.49226099130635,45.99999999999999,0,1,0
23,10,Urban,80,3.88,Afternoon,Economy,22,59.4454065021933,0.575,1.1,52.31195772193011,-11.999999999999984,0,0,1
74,27,Suburban,51,3.75,Morning,Premium,111,334.1449975015087,1.85,1.4074074074074074,870.0145675687432,160.3703703703704,0,0,1
49,6,Suburban,18,4.41,Night,Premium,148,443.7750198288772,1.225,1.8333333333333333,443.7750198288772,0.0,1,0,0
31,8,Rural,7,3.57,Night,Economy,35,145.24203735141535,0.775,1.375,145.24203735141535,0.0,1,0,0
57,46,Rural,42,4.39,Morning,Economy,56,210.6317666138125,1.425,0.8260869565217391,247.95022091604233,17.717391304347835,0,1,0
64,19,Suburban,35,4.02,Afternoon,Economy,39,152.22919256822726,1.6,2.0,487.1334162183273,220.00000000000003,0,1,0
86,76,Suburban,84,4.99,Night,Economy,149,612.446726848697,1.0617283950617284,0.5,520.2016642863007,-15.06172839506173,0,1,0
54,28,Suburban,73,3.56,Morning,Premium,51,250.28588237277447,1.35,1.3571428571428572,458.5594916329761,83.21428571428572,0,1,0
85,37,Rural,10,3.76,Night,Premium,61,309.08254473187293,1.0493827160493827,1.027027027027027,309.08254473187293,0.0,1,0,0
58,15,Rural,14,4.76,Night,Premium,12,94.1609176991503,1.45,2.533333333333333,94.1609176991503,0.0,0,1,0
96,27,Rural,21,4.37,Night,Premium,57,243.93730652889337,1.1851851851851851,1.4074074074074074,243.93730652889337,0.0,1,0,0
58,31,Suburban,32,4.87,Evening,Premium,85,331.19305388667465,1.45,1.2258064516129032,331.19305388667465,0.0,0,0,1
77,45,Suburban,88,4.16,Morning,Economy,151,595.2312211886215,1.925,0.8444444444444444,967.5814184432814,62.55555555555558,0,0,1
93,73,Rural,78,3.81,Night,Premium,106,465.962681649944,1.1481481481481481,0.5205479452054794,427.99535203402263,-8.148148148148147,0,1,0
44,11,Rural,56,3.83,Afternoon,Premium,18,104.75201005936664,1.1,1.0,115.22721106530331,10.000000000000005,0,1,0
20,10,Rural,54,4.12,Morning,Premium,168,784.0551260339382,0.5,1.1,689.9685109098657,-11.999999999999991,0,1,0
70,40,Suburban,9,3.77,Evening,Economy,130,382.9299378688001,1.75,0.95,636.6210217068801,66.24999999999999,0,1,0
42,12,Rural,92,4.5,Afternoon,Economy,123,319.2967130915861,1.05,3.1666666666666665,319.2967130915861,0.0,1,0,0
87,33,Rural,53,4.15,Evening,Economy,143,640.1373391067773,1.0740740740740742,1.1515151515151516,791.7299076270131,23.681257014590358,0,1,0
70,43,Suburban,47,4.31,Morning,Economy,57,243.4933853851045,1.75,0.8837209302325582,243.4933853851045,0.0,1,0,0
61,15,Urban,29,4.49,Afternoon,Economy,32,135.005874109167,1.525,2.533333333333333,135.005874109167,0.0,1,0,0
71,36,Suburban,69,4.37,Morning,Economy,110,392.9639432866157,1.775,1.0555555555555556,736.2616104078397,87.36111111111113,0,0,1
81,33,Suburban,41,4.93,Afternoon,Premium,162,617.2885000560723,2.025,1.1515151515151516,617.2885000560723,0.0,0,1,0
87,64,Rural,69,4.55,Evening,Premium,65,310.7883994951958,1.0740740740740742,0.59375,267.04780993661274,-14.074074074074055,0,0,1
85,65,Suburban,73,4.65,Afternoon,Premium,165,770.0708908209459,1.0493827160493827,0.5846153846153846,646.4792663682016,-16.049382716049372,0,1,0
91,65,Urban,40,3.58,Evening,Economy,141,373.50470759834695,1.123456790123457,0.5846153846153846,335.6931199155514,-10.123456790123441,0,1,0
83,57,Rural,80,4.6,Night,Premium,172,814.4195559447121,1.0246913580246915,0.6666666666666666,667.6229446262826,-18.024691358024686,0,0,1
64,10,Suburban,75,3.61,Morning,Premium,155,473.34669329802574,1.6,1.1,473.34669329802574,0.0,1,0,0
69,22,Rural,25,4.41,Night,Premium,74,266.76777889406367,1.725,1.7272727272727273,794.8467230229943,197.95454545454547,0,0,1
37,12,Rural,15,3.73,Evening,Economy,142,369.36165888010754,0.925,3.1666666666666665,1081.921859136315,192.91666666666666,0,0,1
93,28,Urban,63,3.9,Evening,Economy,38,111.72394123957052,1.1481481481481481,1.3571428571428572,174.08836346589166,55.820105820105844,0,0,1
66,49,Rural,42,4.56,Afternoon,Economy,124,429.94835612457183,1.65,0.7755102040816326,429.94835612457183,0.0,1,0,0
47,36,Rural,100,4.2,Morning,Economy,103,414.77830030238334,1.175,1.0555555555555556,514.4403085694838,24.027777777777786,0,0,1
71,30,Rural,45,4.16,Evening,Premium,53,227.1825700126456,1.775,1.2666666666666666,510.7821449117648,124.83333333333331,0,1,0
58,19,Urban,47,3.97,Evening,Economy,77,247.4420018201041,1.45,2.0,717.5818052783019,190.0,0,0,1
100,18,Suburban,50,4.89,Morning,Premium,51,213.8232968736634,1.2345679012345678,2.111111111111111,213.8232968736634,0.0,0,0,1
94,28,Urban,59,4.45,Night,Economy,173,652.5878909594384,1.1604938271604939,1.3571428571428572,1027.7971545445828,57.49559082892416,0,1,0
49,6,Rural,23,4.65,Night,Premium,69,289.6463054085282,1.225,1.8333333333333333,289.6463054085282,0.0,0,0,1
42,7,Rural,90,3.67,Evening,Economy,32,123.762469326047,1.05,1.5714285714285714,123.762469326047,0.0,1,0,0
79,63,Urban,56,4.66,Evening,Premium,70,292.5906288976858,1.975,0.6031746031746031,292.5906288976858,0.0,1,0,0
59,5,Rural,17,4.97,Evening,Premium,143,440.93951077757487,1.475,2.2,440.93951077757487,0.0,1,0,0
54,7,Urban,91,3.75,Night,Economy,97,298.3226183929867,1.35,1.5714285714285714,632.8701261622647,112.14285714285714,0,1,0
60,6,Rural,65,4.76,Morning,Economy,168,629.2044295696749,1.5,1.8333333333333333,629.2044295696749,0.0,0,0,1
26,13,Suburban,4,3.63,Night,Premium,123,441.99619244539696,0.65,2.923076923076923,1033.5910961800053,133.84615384615387,0,0,1
90,10,Rural,59,4.44,Morning,Premium,147,691.5012905566776,1.1111111111111112,1.1,845.1682440137172,22.222222222222232,0,0,1
34,12,Suburban,38,4.18,Afternoon,Economy,24,106.94859059241988,0.85,3.1666666666666665,287.8699563445968,169.16666666666663,0,0,1
80,34,Suburban,84,3.8,Night,Economy,174,561.4385219871201,2.0,1.1176470588235294,1254.9802256182686,123.52941176470591,0,0,1
21,7,Rural,58,4.31,Morning,Premium,75,328.45835687553256,0.525,1.5714285714285714,412.9190772149552,25.71428571428572,0,1,0
97,71,Suburban,52,4.32,Evening,Economy,36,133.38738314122594,1.1975308641975309,0.5352112676056338,127.78840656492757,-4.197530864197528,0,0,1
64,7,Suburban,92,4.58,Evening,Premium,16,114.6992021313152,1.6,1.5714285714285714,114.6992021313152,0.0,0,1,0
47,34,Rural,16,4.38,Evening,Premium,46,237.14338896943255,1.175,1.1176470588235294,237.14338896943255,0.0,1,0,0
44,28,Rural,30,3.93,Evening,Premium,42,157.10657171647188,1.1,1.3571428571428572,157.10657171647188,0.0,1,0,0
21,9,Suburban,13,4.01,Evening,Economy,127,431.251597706785,0.525,1.2222222222222223,421.6682288688565,-2.2222222222222103,1,0,0
57,37,Urban,59,3.92,Evening,Economy,159,585.8075881778408,1.425,1.027027027027027,585.8075881778408,0.0,1,0,0
62,5,Rural,51,4.4,Afternoon,Economy,160,647.204374917644,1.55,2.2,2206.9669184691666,241.00000000000006,0,0,1
25,6,Urban,60,3.91,Evening,Premium,145,559.578839787104,0.625,1.8333333333333333,559.578839787104,0.0,1,0,0
92,33,Suburban,70,3.69,Evening,Premium,46,173.1505322724627,1.1358024691358024,1.1515151515151516,226.46249937318728,30.789375233819683,0,0,1
38,7,Rural,46,3.79,Night,Economy,78,198.17046750812372,0.95,1.5714285714285714,198.17046750812372,0.0,1,0,0
99,31,Urban,0,3.54,Morning,Economy,50,192.7088692483722,1.2222222222222223,1.2258064516129032,288.7179474760559,49.820788530465975,0,0,1
35,7,Rural,65,4.19,Night,Economy,65,165.0758241756551,0.875,1.5714285714285714,226.97925824152577,37.50000000000001,0,1,0
30,13,Urban,53,3.68,Night,Premium,124,379.4680328899806,0.75,2.923076923076923,379.4680328899806,0.0,1,0,0
28,6,Urban,53,4.48,Night,Premium,148,461.10955384851616,0.7,1.8333333333333333,461.10955384851616,0.0,1,0,0
59,47,Rural,73,3.54,Night,Economy,75,234.5672445982206,1.475,0.8085106382978723,279.7339161644737,19.25531914893617,0,0,1
24,13,Urban,50,4.26,Night,Premium,141,540.0620306756346,0.6,2.923076923076923,1262.914287118407,133.84615384615384,0,0,1
21,6,Suburban,15,3.81,Evening,Premium,80,318.8415033130425,0.525,1.8333333333333333,467.63420485912906,46.66666666666669,0,1,0
84,54,Suburban,59,4.98,Afternoon,Premium,43,196.31514152174805,1.037037037037037,0.7037037037037037,162.86885815137614,-17.03703703703704,0,0,1
100,50,Urban,83,4.91,Morning,Premium,173,622.4914304114809,1.2345679012345678,0.76,614.8063510236848,-1.2345679012345778,0,0,1
30,11,Urban,99,4.96,Evening,Economy,83,349.6745279402746,0.75,1.0,279.73962235221967,-19.999999999999996,0,0,1
45,35,Rural,0,4.58,Afternoon,Premium,41,206.1473318707726,1.125,1.0857142857142856,206.1473318707726,0.0,0,1,0
53,35,Urban,35,3.92,Afternoon,Premium,166,635.9330544824535,1.325,1.0857142857142856,635.9330544824535,0.0,1,0,0
65,41,Rural,51,3.57,Night,Premium,48,251.1121418065252,1.625,0.926829268292683,251.1121418065252,0.0,1,0,0
93,6,Rural,85,4.47,Night,Economy,107,324.098767437868,1.1481481481481481,1.8333333333333333,682.2078993599567,110.49382716049385,0,0,1
28,5,Rural,69,4.49,Morning,Premium,132,425.4887347951667,0.7,2.2,748.8601732394935,76.00000000000003,0,1,0
38,8,Urban,78,3.57,Night,Economy,114,470.2690237026412,0.95,1.375,614.288912211575,30.624999999999993,0,0,1
25,6,Urban,69,4.45,Evening,Premium,94,398.051725971793,0.625,1.8333333333333333,583.8091980919631,46.66666666666668,0,1,0
76,23,Rural,64,3.57,Night,Premium,115,564.9317250247195,1.9,1.6521739130434783,1773.394371599337,213.91304347826087,0,1,0
22,7,Suburban,73,4.91,Morning,Premium,73,238.31899146487595,0.55,1.5714285714285714,238.31899146487595,0.0,1,0,0
40,5,Rural,17,4.55,Afternoon,Economy,72,184.9552256292673,1.0,2.2,184.9552256292673,0.0,0,0,1
89,16,Suburban,27,4.86,Afternoon,Economy,161,624.305615960136,1.0987654320987654,2.375,624.305615960136,0.0,0,1,0
31,21,Suburban,77,4.83,Afternoon,Economy,107,389.3845083155804,0.775,1.8095238095238095,389.3845083155804,0.0,0,0,1
92,45,Rural,59,4.23,Morning,Premium,121,574.8939389332888,1.1358024691358024,0.8444444444444444,551.3934733911599,-4.087791495198902,0,0,1
58,32,Urban,92,4.59,Afternoon,Premium,111,517.9444619823878,1.45,1.1875,517.9444619823878,0.0,1,0,0
58,20,Rural,42,3.51,Evening,Economy,125,527.1792011771714,1.45,1.9,1452.3786992431071,175.49999999999997,0,0,1
36,7,Suburban,26,4.35,Morning,Economy,59,201.49683080394215,0.9,1.5714285714285714,284.97408927986106,41.428571428571445,0,1,0
66,40,Rural,93,4.86,Evening,Economy,153,627.0167510146084,1.65,0.95,627.0167510146084,0.0,0,1,0
76,54,Urban,58,4.05,Evening,Economy,74,218.6251778894482,1.9,0.7037037037037037,332.31027039196124,51.99999999999999,0,1,0
55,23,Urban,46,4.58,Afternoon,Premium,150,654.676536309137,1.375,1.6521739130434783,654.676536309137,0.0,1,0,0
21,8,Urban,57,4.78,Night,Premium,84,293.5602166445157,0.525,1.375,293.5602166445157,0.0,0,1,0
61,45,Rural,42,4.25,Afternoon,Economy,102,421.98526198279467,1.525,0.8444444444444444,421.98526198279467,0.0,1,0,0
72,62,Suburban,48,3.82,Evening,Economy,126,553.7408048680613,1.8,0.6129032258064516,797.3867590100084,44.000000000000014,0,1,0
65,18,Rural,65,4.01,Morning,Economy,111,330.62430999065225,1.625,2.111111111111111,330.62430999065225,0.0,1,0,0
20,8,Rural,27,4.99,Morning,Economy,83,261.4451502998812,0.5,1.375,261.4451502998812,0.0,0,0,1
22,7,Suburban,16,4.1,Night,Economy,147,520.0637873298249,0.55,1.5714285714285714,653.7944755003513,25.71428571428571,0,0,1
72,49,Suburban,15,4.34,Night,Premium,19,117.63327810103034,1.8,0.7755102040816326,117.63327810103034,0.0,1,0,0
42,30,Urban,26,4.79,Afternoon,Economy,138,493.0149508584995,1.05,1.2666666666666666,493.0149508584995,0.0,0,1,0
100,54,Suburban,91,4.59,Night,Premium,61,203.1132957396489,1.2345679012345678,0.7037037037037037,200.60572418730754,-1.234567901234569,0,1,0
87,32,Suburban,38,4.76,Afternoon,Economy,114,421.7762985074602,1.0740740740740742,1.1875,421.7762985074602,0.0,0,0,1
36,8,Urban,47,4.07,Afternoon,Economy,77,305.0088858607341,0.9,1.375,305.0088858607341,0.0,1,0,0
70,38,Urban,99,4.19,Morning,Economy,76,317.77188818101894,1.75,1.0,556.1008043167832,75.00000000000001,0,0,1
41,7,Urban,4,4.15,Night,Economy,83,364.9140560714328,1.025,1.5714285714285714,364.9140560714328,0.0,1,0,0
59,40,Rural,64,4.72,Night,Economy,157,398.3194964103068,1.475,0.95,398.3194964103068,0.0,1,0,0
33,14,Urban,38,4.89,Morning,Economy,127,461.3060120664082,0.825,2.7142857142857144,461.3060120664082,0.0,0,1,0
70,26,Urban,15,3.67,Night,Premium,70,358.2348071386952,1.75,1.4615384615384615,916.254410566278,155.76923076923072,0,0,1
45,7,Rural,87,4.35,Evening,Economy,74,224.3071067625652,1.125,1.5714285714285714,396.5429208838206,76.78571428571426,0,1,0
98,71,Suburban,83,4.55,Morning,Economy,139,558.3815496134125,1.2098765432098766,0.5352112676056338,540.4581912307598,-3.209876543209875,0,1,0
75,63,Urban,42,4.55,Evening,Premium,138,660.4425622593634,1.875,0.6031746031746031,660.4425622593634,0.0,1,0,0
100,34,Rural,33,4.75,Night,Economy,156,537.4486716625657,1.2345679012345678,1.1176470588235294,537.4486716625657,0.0,1,0,0
76,23,Urban,53,3.94,Evening,Economy,117,480.104370355134,1.9,1.6521739130434783,1507.1102408539425,213.91304347826087,0,0,1
32,12,Urban,69,3.68,Morning,Economy,55,162.28310451017555,0.8,3.1666666666666665,411.1171980924447,153.33333333333331,0,0,1
35,23,Suburban,58,3.78,Afternoon,Economy,164,638.0445145215127,0.875,1.6521739130434783,638.0445145215127,0.0,1,0,0
30,16,Suburban,89,3.63,Afternoon,Economy,142,420.1110979571745,0.75,2.375,420.1110979571745,0.0,1,0,0
75,56,Urban,66,3.69,Evening,Premium,22,124.49060049402551,1.875,0.6785714285714286,186.73590074103828,50.000000000000014,0,1,0
25,6,Rural,23,3.95,Morning,Premium,55,235.27811761739352,0.625,1.8333333333333333,345.0745725055105,46.666666666666664,0,1,0
88,16,Suburban,26,4.18,Morning,Economy,32,127.33149010162909,1.0864197530864197,2.375,127.33149010162909,0.0,1,0,0
43,26,Rural,69,4.9,Evening,Economy,107,391.0269903920518,1.075,1.4615384615384615,391.0269903920518,0.0,0,0,1
39,20,Rural,97,4.25,Morning,Economy,121,319.5430197104816,0.975,1.9,591.9534440136671,85.24999999999999,0,0,1
77,63,Suburban,72,4.56,Morning,Economy,113,380.2853707615285,1.925,0.6031746031746031,380.2853707615285,0.0,1,0,0
41,14,Suburban,59,4.72,Morning,Premium,49,179.62342246641472,1.025,2.7142857142857144,179.62342246641472,0.0,0,0,1
51,20,Rural,97,4.8,Morning,Economy,130,452.112640122952,1.275,1.9,452.112640122952,0.0,0,0,1
30,10,Suburban,86,4.95,Evening,Economy,149,565.6691466337952,0.75,1.1,497.78884903773985,-11.99999999999999,1,0,0
29,8,Urban,52,4.68,Afternoon,Premium,121,402.1558775823215,0.725,1.375,402.1558775823215,0.0,1,0,0
21,5,Rural,8,4.44,Afternoon,Premium,159,689.8421599513094,0.525,2.2,689.8421599513094,0.0,1,0,0
50,15,Suburban,62,4.51,Night,Economy,83,307.6469280930268,1.25,2.533333333333333,307.6469280930268,0.0,0,1,0
61,42,Rural,11,3.72,Night,Economy,52,186.5262770863605,1.525,0.9047619047619048,186.5262770863605,0.0,1,0,0
67,5,Suburban,81,4.53,Morning,Premium,14,91.06777716361007,1.675,2.2,91.06777716361007,0.0,0,0,1
73,22,Suburban,26,4.99,Night,Economy,33,143.8549860520897,1.825,1.7272727272727273,143.8549860520897,0.0,0,1,0
35,18,Urban,27,3.82,Morning,Economy,158,553.837359075948,0.875,2.111111111111111,553.837359075948,0.0,1,0,0
96,58,Urban,25,3.61,Morning,Economy,85,336.56848365859423,1.1851851851851851,0.6551724137931034,319.1167845059264,-5.185185185185187,0,0,1
38,28,Urban,8,4.83,Morning,Economy,29,95.02020685904614,0.95,1.3571428571428572,95.02020685904614,0.0,1,0,0
75,28,Urban,6,4.02,Evening,Premium,171,575.0117219060105,1.875,1.3571428571428572,575.0117219060105,0.0,1,0,0
57,26,Suburban,92,4.11,Afternoon,Premium,58,264.675747588135,1.425,1.4615384615384615,551.2381435345196,108.26923076923079,0,0,1
36,10,Rural,65,3.54,Night,Economy,53,185.61792391524813,0.9,1.1,183.76174467609567,-0.9999999999999849,1,0,0
73,27,Rural,98,3.97,Evening,Economy,57,251.1556502722435,1.825,1.4074074074074074,251.1556502722435,0.0,1,0,0
68,29,Rural,51,3.99,Evening,Economy,110,299.689056274687,1.7,1.3103448275862069,299.689056274687,0.0,1,0,0
25,9,Rural,11,3.58,Night,Economy,31,92.65681121424488,0.625,1.2222222222222223,90.59777096503944,-2.2222222222222183,1,0,0
97,25,Urban,95,4.91,Night,Premium,101,332.2293764400841,1.1975308641975309,1.52,332.2293764400841,0.0,0,1,0
30,7,Rural,85,3.74,Evening,Economy,44,184.11208970364285,0.75,1.5714285714285714,231.45519848457957,25.714285714285705,0,1,0
83,7,Suburban,24,4.9,Morning,Premium,24,124.5817744544144,1.0246913580246915,1.5714285714285714,124.5817744544144,0.0,1,0,0
27,5,Rural,2,4.3,Evening,Economy,22,60.98181721983856,0.675,2.2,60.98181721983856,0.0,1,0,0
58,21,Suburban,72,4.14,Afternoon,Economy,10,35.88598786056829,1.45,1.8095238095238095,35.88598786056829,0.0,1,0,0
32,15,Urban,67,3.76,Evening,Premium,23,132.12301879164062,0.8,2.533333333333333,132.12301879164062,0.0,1,0,0
76,8,Urban,40,4.68,Afternoon,Economy,157,561.5796822292014,1.9,1.375,561.5796822292014,0.0,1,0,0
21,9,Suburban,38,4.54,Morning,Economy,179,546.3787898746884,0.525,1.2222222222222223,534.2370389885843,-2.2222222222222046,0,1,0
47,37,Urban,53,4.69,Night,Economy,41,147.4597413359118,1.175,1.027027027027027,147.4597413359118,0.0,1,0,0
33,20,Suburban,97,4.13,Morning,Premium,169,668.8922140357987,0.825,1.9,1048.4885455011145,56.75,0,1,0
92,66,Rural,26,3.56,Evening,Economy,19,62.06928479024478,1.1358024691358024,0.5757575757575758,56.398757537802666,-9.135802469135799,0,0,1
24,7,Rural,34,3.51,Afternoon,Premium,111,477.7411361723483,0.6,1.5714285714285714,600.5888569023807,25.714285714285705,0,0,1
75,9,Rural,71,4.06,Night,Economy,150,411.0057654245888,1.875,1.2222222222222223,411.0057654245888,0.0,1,0,0
89,76,Urban,35,4.8,Night,Premium,177,650.2985711974341,1.0987654320987654,0.5,571.6204724599668,-12.098765432098759,1,0,0
67,20,Urban,42,4.13,Evening,Economy,68,243.22861759627588,1.675,1.9,774.075075500148,218.25000000000006,0,1,0
61,23,Suburban,51,4.73,Evening,Premium,150,680.9330686248741,1.525,1.6521739130434783,680.9330686248741,0.0,0,0,1
80,67,Rural,80,4.74,Night,Economy,147,432.30725774113824,2.0,0.5671641791044776,432.30725774113824,0.0,0,1,0
66,15,Suburban,62,4.59,Night,Economy,161,720.729944900258,1.65,2.533333333333333,720.729944900258,0.0,1,0,0
39,12,Suburban,54,3.77,Morning,Premium,176,510.4543750320455,0.975,3.1666666666666665,1576.0278829114404,208.75,0,1,0
46,22,Urban,9,4.33,Morning,Economy,128,522.7974318549136,1.15,1.7272727272727273,1038.4658078208965,98.63636363636363,0,1,0
89,74,Rural,41,4.89,Morning,Premium,115,432.16279228896633,1.0987654320987654,0.5135135135135135,379.87642976511614,-12.098765432098752,0,0,1
60,16,Urban,56,4.33,Night,Premium,126,382.4570671338528,1.5,2.375,382.4570671338528,0.0,1,0,0
58,13,Rural,99,3.62,Morning,Premium,106,351.43931589566165,1.45,2.923076923076923,1489.5620235269967,323.84615384615387,0,1,0
68,16,Urban,93,4.44,Morning,Premium,154,510.19578633034166,1.7,2.375,2059.915487308754,303.74999999999994,0,0,1
45,19,Suburban,71,3.72,Night,Economy,121,313.92644056486665,1.125,2.0,706.3344912709499,124.99999999999997,0,0,1
91,61,Suburban,100,4.88,Night,Economy,101,372.2298219510593,1.123456790123457,0.6229508196721312,334.5472967658904,-10.123456790123441,1,0,0
39,12,Urban,70,4.02,Morning,Premium,66,314.46800852423786,0.975,3.1666666666666665,970.9199763185844,208.75,0,1,0
97,9,Rural,58,4.32,Evening,Premium,142,491.5779538643877,1.1975308641975309,1.2222222222222223,491.5779538643877,0.0,1,0,0
42,18,Suburban,39,3.94,Afternoon,Economy,128,527.1558943563921,1.05,2.111111111111111,1168.5288991566692,121.6666666666667,0,0,1
27,15,Urban,11,3.77,Evening,Economy,111,432.849396942834,0.675,2.533333333333333,432.849396942834,0.0,1,0,0
67,48,Rural,94,4.3,Evening,Premium,168,544.6027807887253,1.675,0.7916666666666666,729.767726256892,34.00000000000002,0,1,0
69,51,Urban,75,3.57,Night,Premium,136,470.18271352951473,1.725,0.7450980392156863,648.8521446707304,38.00000000000001,0,1,0
69,47,Urban,65,4.22,Night,Economy,18,53.5391040086766,1.725,0.8085106382978723,74.66996314401598,39.46808510638297,0,1,0
93,18,Suburban,34,3.54,Afternoon,Economy,80,352.0685727015968,1.1481481481481481,2.111111111111111,352.0685727015968,0.0,1,0,0
84,74,Suburban,7,4.4,Afternoon,Premium,101,396.3698341114785,1.037037037037037,0.5135135135135135,328.84015867026363,-17.037037037037038,0,1,0
96,48,Urban,41,4.39,Morning,Economy,130,367.7829980600229,1.1851851851851851,0.7916666666666666,348.7127685309847,-5.1851851851851825,1,0,0
30,13,Suburban,72,4.18,Night,Premium,113,352.9356730761453,0.75,2.923076923076923,352.9356730761453,0.0,1,0,0
60,48,Suburban,15,4.06,Morning,Economy,78,339.1055825696459,1.5,0.7916666666666666,406.9266990835751,20.00000000000001,0,1,0
72,39,Urban,39,3.77,Night,Premium,115,347.8959667426787,1.8,0.9743589743589743,610.1560032102365,75.38461538461539,0,1,0
31,13,Suburban,82,4.63,Morning,Economy,108,469.2509135918648,0.775,2.923076923076923,469.2509135918648,0.0,0,1,0
71,13,Rural,60,4.3,Night,Premium,62,213.8430201203033,1.775,2.923076923076923,1109.5162851626503,418.8461538461537,0,0,1
91,61,Rural,86,4.44,Morning,Premium,129,567.5392184514062,1.123456790123457,0.6229508196721312,510.08463090447384,-10.123456790123438,0,0,1
91,60,Rural,2,3.53,Evening,Premium,107,492.179013222281,1.123456790123457,0.6333333333333333,442.35348348866745,-10.123456790123443,1,0,0
32,6,Urban,13,4.75,Afternoon,Economy,53,173.88747446193491,0.8,1.8333333333333333,173.88747446193491,0.0,0,0,1
23,10,Suburban,47,4.84,Evening,Economy,125,418.10682439062094,0.575,1.1,367.9340054637465,-11.99999999999999,1,0,0
61,47,Suburban,100,4.58,Night,Premium,157,658.3040013013618,1.525,0.8085106382978723,658.3040013013618,0.0,0,0,1
57,40,Urban,78,3.62,Afternoon,Economy,171,764.5953413909641,1.425,0.95,1035.0709434080177,35.375,0,1,0
89,70,Suburban,86,4.51,Afternoon,Economy,90,384.2092919756728,1.0987654320987654,0.5428571428571428,337.7247109712087,-12.098765432098755,1,0,0
